"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen"
"Ind19";9.173;"plast";27;10;"2";2;0.3;636;111;0.14859437751004;"50-83-30";-0.244702127659574
"Ind19";9.009;"plast";28;11;"2";2;0.3;614;69;0.101024890190337;"50-83-30";-0.244702127659574
"Ind19";9.109;"plast";30;13;"2";2;0.3;511;66;0.114384748700173;"50-83-30";-0.244702127659574
"Ind2";8.408;"plast";2;2;"1";1;0.5;468;78;0.142857142857143;"50-30-83";-0.0447021276595745
"Ind2";8.402;"plast";3;3;"1";1;0.5;523;12;0.0224299065420561;"50-30-83";-0.0447021276595745
"Ind2";8.094;"plast";4;4;"1";1;0.5;469;13;0.0269709543568465;"50-30-83";-0.0447021276595745
"Ind2";8.084;"plast";5;5;"1";1;0.5;369;3;0.00806451612903226;"50-30-83";-0.0447021276595745
"Ind2";8.034;"plast";6;6;"1";1;0.3;779;12;0.0151706700379267;"50-30-83";-0.244702127659574
"Ind2";8.011;"plast";7;7;"1";1;0.3;841;159;0.159;"50-30-83";-0.244702127659574
"Ind2";7.768;"plast";9;9;"1";1;0.3;574;15;0.0254668930390492;"50-30-83";-0.244702127659574
"Ind2";7.933;"plast";10;10;"1";1;0.83;332;1;0.003003003003003;"50-30-83";0.285297872340425
"Ind2";7.821;"plast";11;11;"1";1;0.83;269;9;0.0323741007194245;"50-30-83";0.285297872340425
"Ind2";7.581;"plast";13;13;"1";1;0.83;171;1;0.00581395348837209;"50-30-83";0.285297872340425
"Ind20";7.868;"plast";19;2;"2";2;0.5;515;19;0.0355805243445693;"50-83-30";-0.0447021276595745
"Ind20";7.837;"plast";20;3;"2";2;0.5;610;132;0.177897574123989;"50-83-30";-0.0447021276595745
"Ind20";7.724;"plast";21;4;"2";2;0.5;484;106;0.179661016949153;"50-83-30";-0.0447021276595745
"Ind20";7.46;"plast";22;5;"2";2;0.5;291;68;0.18941504178273;"50-83-30";-0.0447021276595745
"Ind20";7.935;"plast";23;6;"2";2;0.83;472;11;0.0227743271221532;"50-83-30";0.285297872340425
"Ind20";7.846;"plast";24;7;"2";2;0.83;330;107;0.244851258581236;"50-83-30";0.285297872340425
"Ind20";7.635;"plast";25;8;"2";2;0.83;236;7;0.0288065843621399;"50-83-30";0.285297872340425
"Ind20";7.41;"plast";26;9;"2";2;0.83;135;25;0.15625;"50-83-30";0.285297872340425
"Ind20";7.683;"plast";27;10;"2";2;0.3;928;12;0.0127659574468085;"50-83-30";-0.244702127659574
"Ind20";7.333;"plast";28;11;"2";2;0.3;257;9;0.0338345864661654;"50-83-30";-0.244702127659574
"Ind20";7.23;"plast";29;12;"2";2;0.3;343;14;0.0392156862745098;"50-83-30";-0.244702127659574
"Ind20";7.674;"plast";30;13;"2";2;0.3;1013;38;0.0361560418648906;"50-83-30";-0.244702127659574
"Ind21";8.869;"plast";19;2;"2";2;0.5;564;19;0.032590051457976;"50-83-30";-0.0447021276595745
